Ethnicity,Subject,TestScorePercentage,StateTestPercentage,gsid
Asian,Math,100,72,6152
All students,Science,89,53,6152
White,Science,97,74,6152
Hispanic,Science,78,40,6152
Black,Science,83,36,6152
All students,English,54,48,6068
White,English,54,64,6068
Hispanic,English,51,37,6068
Two or more races,English,49,63,6068
Filipino,English,91,70,6068
All students,Math,43,37,6068
White,Math,43,53,6068
Hispanic,Math,41,24,6068
Two or more races,Math,44,52,6068
Filipino,Math,82,57,6068
All students,Science,63,57,6068
White,Science,65,76,6068
Hispanic,Science,59,44,6068
All students,Math,31,37,5991
Hispanic,Math,23,24,5991
Filipino,Math,43,57,5991
Asian,Math,47,72,5991
Black,Math,9,18,5991
All students,English,47,48,5991
Hispanic,English,35,37,5991
Filipino,English,70,70,5991
Asian,English,66,75,5991
Black,English,36,31,5991
All students,Science,49,53,5991
Hispanic,Science,42,40,5991
Filipino,Science,74,72,5991
All students,Math,43,37,11108
Hispanic,Math,39,24,11108
White,Math,54,53,11108
Black,Math,9,18,11108
Two or more races,Math,36,52,11108
All students,English,57,48,11108
Hispanic,English,49,37,11108
White,English,66,64,11108
Black,English,45,31,11108
Two or more races,English,79,63,11108
All students,Science,70,57,11108
Hispanic,Science,63,44,11108
All students,Math,26,37,25145
Hispanic,Math,24,24,25145
White,Math,50,53,25145
All students,English,39,48,25145
Hispanic,English,36,37,25145
White,English,71,64,25145
All students,Science,27,53,25145
Hispanic,Science,27,40,25145
All students,English,60,48,6190
Hispanic,English,56,37,6190
White,English,79,64,6190
Black,English,35,31,6190
Two or more races,English,75,63,6190
All students,Math,47,37,6190
Hispanic,Math,46,24,6190
White,Math,62,53,6190
Black,Math,18,18,6190
Two or more races,Math,55,52,6190
All students,Science,70,57,6190
Hispanic,Science,65,44,6190
White,Science,82,74,6190
Black,Science,18,36,6190
All students,English,27,48,17595
Hispanic,English,22,37,17595
White,English,33,64,17595
Two or more races,English,37,63,17595
Black,English,15,31,17595
Filipino,English,44,70,17595
All students,Math,33,37,17595
Hispanic,Math,30,24,17595
White,Math,49,53,17595
Two or more races,Math,40,52,17595
Black,Math,19,18,17595
Filipino,Math,32,57,17595
All students,Science,43,53,17595
Hispanic,Science,38,40,17595
White,Science,73,74,17595
Two or more races,Science,45,72,17595
Filipino,Science,36,72,17595
All students,English,55,48,6192
Hispanic,English,49,37,6192
White,English,75,64,6192
Black,English,34,31,6192
Asian,English,58,75,6192
Two or more races,English,67,63,6192
All students,Math,21,37,6192
Hispanic,Math,20,24,6192
White,Math,25,53,6192
Black,Math,11,18,6192
Asian,Math,42,72,6192
Two or more races,Math,13,52,6192
All students,Science,61,50,6192
Hispanic,Science,46,37,6192
White,Science,83,68,6192
Black,Science,52,32,6192
Asian,Science,72,76,6192
Two or more races,Science,80,66,6192
Filipino,Science,73,67,6192
All students,Math,61,37,6035
White,Math,66,53,6035
Hispanic,Math,37,24,6035
Asian,Math,84,72,6035
Filipino,Math,60,57,6035
Two or more races,Math,59,52,6035
Black,Math,40,18,6035
All students,English,71,48,6035
White,English,77,64,6035
Hispanic,English,48,37,6035
Asian,English,88,75,6035
Filipino,English,76,70,6035
Two or more races,English,76,63,6035
Black,English,57,31,6035
All students,Science,88,61,6035
White,Science,92,78,6035
Hispanic,Science,69,49,6035
Asian,Science,98,85,6035
Filipino,Science,100,79,6035
Two or more races,Science,83,75,6035
Black,Science,75,43,6035
All students,Math,45,37,5971
White,Math,58,53,5971
Hispanic,Math,30,24,5971
Two or more races,Math,40,52,5971
Black,Math,20,18,5971
Asian,Math,52,72,5971
All students,English,65,48,5971
White,English,76,64,5971
Hispanic,English,54,37,5971
Two or more races,English,65,63,5971
Black,English,48,31,5971
Asian,English,71,75,5971
All students,Science,77,53,5971
White,Science,87,74,5971
Hispanic,Science,65,40,5971
Two or more races,Science,82,72,5971
All students,Math,26,37,5995
Hispanic,Math,24,24,5995
Filipino,Math,60,57,5995
All students,English,28,48,5995
Hispanic,English,25,37,5995
Filipino,English,60,70,5995
All students,Science,41,53,5995
Hispanic,Science,38,40,5995
All students,Math,30,37,5903
Hispanic,Math,21,24,5903
White,Math,49,53,5903
Black,Math,30,18,5903
Asian,Math,60,72,5903
Filipino,Math,61,57,5903
Two or more races,Math,49,52,5903
All students,English,47,48,5903
Hispanic,English,41,37,5903
White,English,63,64,5903
Black,English,47,31,5903
Asian,English,71,75,5903
Filipino,English,76,70,5903
Two or more races,English,66,63,5903
All students,Science,55,61,5903
Hispanic,Science,49,49,5903
White,Science,67,78,5903
Black,Science,64,43,5903
Filipino,Science,73,79,5903
Two or more races,Science,82,75,5903
All students,Math,71,37,5797
White,Math,77,53,5797
Hispanic,Math,42,24,5797
Two or more races,Math,84,52,5797
All students,English,74,48,5797
White,English,81,64,5797
Hispanic,English,40,37,5797
Two or more races,English,79,63,5797
All students,Science,80,53,5797
White,Science,89,74,5797
Hispanic,Science,35,40,5797
All students,Math,74,37,5864
White,Math,78,53,5864
Hispanic,Math,49,24,5864
Asian,Math,84,72,5864
Two or more races,Math,85,52,5864
All students,English,84,48,5864
White,English,87,64,5864
Hispanic,English,68,37,5864
Asian,English,90,75,5864
Two or more races,English,92,63,5864
All students,Science,89,53,5864
White,Science,92,74,5864
Hispanic,Science,68,40,5864
Asian,Science,100,78,5864
All students,Math,68,37,11843
White,Math,73,53,11843
Hispanic,Math,44,24,11843
Asian,Math,91,72,11843
Two or more races,Math,77,52,11843
Black,Math,31,18,11843
Filipino,Math,76,57,11843
All students,English,75,48,11843
White,English,79,64,11843
Hispanic,English,54,37,11843
Asian,English,91,75,11843
Two or more races,English,84,63,11843
Black,English,54,31,11843
Filipino,English,94,70,11843
All students,Science,81,61,11843
White,Science,84,78,11843
Hispanic,Science,64,49,11843
Asian,Science,88,85,11843
Two or more races,Science,83,75,11843
All students,Math,31,37,7422
Hispanic,Math,26,24,7422
White,Math,43,53,7422
All students,English,40,48,7422
Hispanic,English,31,37,7422
White,English,58,64,7422
All students,Science,36,57,7422
Hispanic,Science,28,44,7422
All students,Math,51,37,12224
Hispanic,Math,32,24,12224
White,Math,72,53,12224
Asian,Math,77,72,12224
All students,English,60,48,12224
Hispanic,English,42,37,12224
White,English,74,64,12224
Asian,English,91,75,12224
All students,Science,63,53,12224
Hispanic,Science,53,40,12224
White,Science,86,74,12224
All students,Math,54,37,14745
White,Math,66,53,14745
Hispanic,Math,35,24,14745
Asian,Math,88,72,14745
Two or more races,Math,56,52,14745
Black,Math,24,18,14745
Filipino,Math,77,57,14745
All students,English,62,48,14745
White,English,74,64,14745
Hispanic,English,43,37,14745
Asian,English,88,75,14745
Two or more races,English,69,63,14745
Black,English,29,31,14745
Filipino,English,85,70,14745
All students,Science,83,61,14745
White,Science,88,78,14745
Hispanic,Science,75,49,14745
Asian,Science,92,85,14745
Two or more races,Science,85,75,14745
All students,Science,71,50,5866
White,Science,78,68,5866
Hispanic,Science,52,37,5866
Asian,Science,85,76,5866
Two or more races,Science,72,66,5866
All students,English,73,48,5866
White,English,76,64,5866
Hispanic,English,63,37,5866
Asian,English,84,75,5866
Two or more races,English,79,63,5866
All students,Math,54,37,5866
White,Math,58,53,5866
Hispanic,Math,37,24,5866
Asian,Math,83,72,5866
Two or more races,Math,64,52,5866
All students,Math,35,37,11124
White,Math,33,53,11124
All students,English,88,48,11124
White,English,83,64,11124
All students,Science,57,50,11124
White,Science,58,68,11124
All students,Science,34,50,6163
Hispanic,Science,30,37,6163
Asian,Science,55,76,6163
Black,Science,29,32,6163
All students,English,39,48,6163
Hispanic,English,35,37,6163
Asian,English,54,75,6163
Black,English,41,31,6163
All students,Math,12,37,6163
Hispanic,Math,10,24,6163
Asian,Math,23,72,6163
Black,Math,9,18,6163
All students,Math,30,37,5843
Hispanic,Math,28,24,5843
All students,English,37,48,5843
Hispanic,English,35,37,5843
All students,Science,56,53,5843
Hispanic,Science,55,40,5843
All students,Math,28,37,6322
Hispanic,Math,17,24,6322
White,Math,44,53,6322
Two or more races,Math,33,52,6322
Asian,Math,55,72,6322
Black,Math,17,18,6322
Filipino,Math,55,57,6322
All students,English,49,48,6322
Hispanic,English,38,37,6322
White,English,65,64,6322
Two or more races,English,51,63,6322
Asian,English,85,75,6322
Black,English,37,31,6322
Filipino,English,85,70,6322
All students,Science,54,61,6322
Hispanic,Science,41,49,6322
White,Science,70,78,6322
Two or more races,Science,65,75,6322
Asian,Science,82,85,6322
All students,Math,54,37,6217
Hispanic,Math,32,24,6217
White,Math,73,53,6217
Two or more races,Math,69,52,6217
Asian,Math,80,72,6217
Black,Math,44,18,6217
All students,English,60,48,6217
Hispanic,English,39,37,6217
White,English,79,64,6217
Two or more races,English,75,63,6217
Asian,English,90,75,6217
Black,English,44,31,6217
All students,Science,51,61,6217
Hispanic,Science,33,49,6217
White,Science,70,78,6217
Two or more races,Science,82,75,6217
All students,Science,86,50,31104
White,Science,87,68,31104
Hispanic,Science,73,37,31104
Asian,Science,100,76,31104
Two or more races,Science,100,66,31104
All students,English,84,48,31104
White,English,91,64,31104
Hispanic,English,70,37,31104
Asian,English,86,75,31104
Two or more races,English,79,63,31104
All students,Math,63,37,31104
White,Math,70,53,31104
Hispanic,Math,42,24,31104
Asian,Math,82,72,31104
Two or more races,Math,53,52,31104
All students,Math,68,37,11097
Hispanic,Math,61,24,11097
White,Math,78,53,11097
Filipino,Math,73,57,11097
Black,Math,71,18,11097
Asian,Math,88,72,11097
Two or more races,Math,88,52,11097
All students,English,83,48,11097
Hispanic,English,79,37,11097
White,English,89,64,11097
Filipino,English,94,70,11097
Black,English,79,31,11097
Asian,English,84,75,11097
Two or more races,English,88,63,11097
All students,Science,68,57,11097
Hispanic,Science,60,44,11097
White,Science,81,76,11097
Filipino,Science,67,72,11097
All students,Math,37,37,5826
Hispanic,Math,36,24,5826
White,Math,14,53,5826
All students,English,50,48,5826
Hispanic,English,50,37,5826
White,English,36,64,5826
All students,Science,57,53,5826
Hispanic,Science,54,40,5826
All students,English,69,48,5828
Hispanic,English,67,37,5828
White,English,67,64,5828
Filipino,English,77,70,5828
Two or more races,English,74,63,5828
All students,Math,57,37,5828
Hispanic,Math,53,24,5828
White,Math,60,53,5828
Filipino,Math,77,57,5828
Two or more races,Math,63,52,5828
All students,Science,67,53,5828
Hispanic,Science,63,40,5828
All students,Math,29,37,5827
Hispanic,Math,28,24,5827
White,Math,46,53,5827
All students,English,61,48,5827
Hispanic,English,60,37,5827
White,English,86,64,5827
All students,Science,44,55,5827
Hispanic,Science,43,42,5827
All students,Math,48,37,5829
Hispanic,Math,40,24,5829
White,Math,65,53,5829
Filipino,Math,67,57,5829
Two or more races,Math,73,52,5829
All students,English,65,48,5829
Hispanic,English,57,37,5829
White,English,89,64,5829
Filipino,English,65,70,5829
Two or more races,English,91,63,5829
All students,Science,63,53,5829
Hispanic,Science,55,40,5829
All students,Math,67,37,5831
Hispanic,Math,61,24,5831
White,Math,81,53,5831
Filipino,Math,84,57,5831
Two or more races,Math,62,52,5831
Black,Math,54,18,5831
Asian,Math,90,72,5831
All students,English,69,48,5831
Hispanic,English,65,37,5831
White,English,86,64,5831
Filipino,English,88,70,5831
Two or more races,English,52,63,5831
Black,English,58,31,5831
Asian,English,75,75,5831
All students,Science,86,57,5831
Hispanic,Science,80,44,5831
White,Science,100,74,5831
Filipino,Science,100,72,5831
All students,Math,24,37,5839
Hispanic,Math,21,24,5839
White,Math,40,53,5839
All students,English,40,48,5839
Hispanic,English,39,37,5839
White,English,47,64,5839
All students,Science,56,53,5839
Hispanic,Science,51,40,5839
All students,Science,68,50,6284
Hispanic,Science,58,37,6284
Filipino,Science,84,67,6284
White,Science,82,68,6284
Two or more races,Science,87,66,6284
Black,Science,59,32,6284
Asian,Science,80,76,6284
All students,English,84,48,6284
Hispanic,English,79,37,6284
Filipino,English,91,70,6284
White,English,90,64,6284
Two or more races,English,93,63,6284
