Ethnicity,Subject,TestScorePercentage,StateTestPercentage,gsid
All students,English,60,48,6104
Filipino,English,67,70,6104
Hispanic,English,42,37,6104
Black,English,40,31,6104
Two or more races,English,57,63,6104
All students,Science,66,57,6104
Filipino,Science,76,76,6104
All students,Math,83,37,6105
White,Math,86,53,6105
Hispanic,Math,61,24,6105
Two or more races,Math,77,52,6105
Asian,Math,100,72,6105
All students,English,85,48,6105
White,English,86,64,6105
Hispanic,English,74,37,6105
Two or more races,English,85,63,6105
Asian,English,92,75,6105
All students,Science,97,53,6105
White,Science,99,74,6105
All students,English,33,48,799
Hispanic,English,34,37,799
Asian,English,27,75,799
White,English,19,64,799
Black,English,15,31,799
All students,Math,24,37,799
Hispanic,Math,25,24,799
Asian,Math,16,72,799
White,Math,20,53,799
Black,Math,4,18,799
All students,Science,13,53,799
Hispanic,Science,12,40,799
Asian,Science,18,78,799
All students,Math,30,37,6107
Hispanic,Math,23,24,6107
Filipino,Math,44,57,6107
Black,Math,14,18,6107
White,Math,22,53,6107
Two or more races,Math,33,52,6107
All students,English,44,48,6107
Hispanic,English,35,37,6107
Filipino,English,68,70,6107
Black,English,17,31,6107
White,English,33,64,6107
Two or more races,English,47,63,6107
All students,Science,60,53,6107
Hispanic,Science,58,40,6107
Filipino,Science,72,72,6107
All students,Math,9,37,7239
Hispanic,Math,8,24,7239
White,Math,7,53,7239
Asian,Math,25,72,7239
All students,English,19,48,7239
Hispanic,English,19,37,7239
White,English,22,64,7239
Asian,English,20,75,7239
All students,Science,36,53,7239
Hispanic,Science,34,40,7239
All students,English,45,48,25641
Hispanic,English,38,37,25641
Black,English,53,31,25641
White,English,58,64,25641
Asian,English,67,75,25641
All students,Math,39,37,25641
Hispanic,Math,31,24,25641
Black,Math,41,18,25641
White,Math,55,53,25641
Asian,Math,87,72,25641
All students,Science,49,57,25641
Hispanic,Science,36,44,25641
Black,Science,25,36,25641
All students,Math,57,37,6884
White,Math,66,53,6884
Hispanic,Math,36,24,6884
Two or more races,Math,56,52,6884
Asian,Math,62,72,6884
All students,English,65,48,6884
White,English,71,64,6884
Hispanic,English,52,37,6884
Two or more races,English,63,63,6884
Asian,English,62,75,6884
All students,Science,76,57,6884
White,Science,83,76,6884
Hispanic,Science,61,44,6884
All students,Math,44,37,6112
Hispanic,Math,36,24,6112
Asian,Math,69,72,6112
White,Math,64,53,6112
All students,English,46,48,6112
Hispanic,English,40,37,6112
Asian,English,61,75,6112
White,English,43,64,6112
All students,Science,54,53,6112
Hispanic,Science,42,40,6112
Asian,Science,82,78,6112
All students,Math,24,37,1591
Hispanic,Math,28,24,1591
Black,Math,15,18,1591
All students,English,35,48,1591
Hispanic,English,38,37,1591
Black,English,27,31,1591
All students,Science,58,57,1591
Hispanic,Science,71,44,1591
Black,Science,28,40,1591
All students,Math,15,37,6076
Hispanic,Math,14,24,6076
White,Math,25,53,6076
Two or more races,Math,23,52,6076
All students,English,20,48,6076
Hispanic,English,19,37,6076
White,English,26,64,6076
Two or more races,English,31,63,6076
All students,Science,17,53,6076
Hispanic,Science,13,40,6076
All students,Math,20,37,3043
Hispanic,Math,19,24,3043
White,Math,27,53,3043
Black,Math,8,18,3043
All students,English,31,48,3043
Hispanic,English,32,37,3043
White,English,35,64,3043
Black,English,17,31,3043
All students,Science,52,57,3043
Hispanic,Science,51,44,3043
White,Science,58,76,3043
All students,Math,20,37,6116
Hispanic,Math,19,24,6116
All students,English,25,48,6116
Hispanic,English,24,37,6116
All students,Science,29,53,6116
Hispanic,Science,27,40,6116
All students,Math,25,37,14627
Hispanic,Math,25,24,14627
All students,English,31,48,14627
Hispanic,English,30,37,14627
All students,Science,26,53,14627
Hispanic,Science,24,40,14627
All students,Math,69,37,6117
White,Math,67,53,6117
Hispanic,Math,60,24,6117
Asian,Math,76,72,6117
Two or more races,Math,76,52,6117
Black,Math,54,18,6117
All students,English,71,48,6117
White,English,76,64,6117
Hispanic,English,64,37,6117
Asian,English,73,75,6117
Two or more races,English,83,63,6117
Black,English,54,31,6117
All students,Science,77,53,6117
White,Science,83,74,6117
Hispanic,Science,41,40,6117
Asian,Science,91,78,6117
All students,English,44,48,6118
Hispanic,English,41,37,6118
Black,English,54,31,6118
Asian,English,64,75,6118
All students,Math,36,37,6118
Hispanic,Math,33,24,6118
Black,Math,46,18,6118
Asian,Math,36,72,6118
All students,Science,43,53,6118
Hispanic,Science,38,40,6118
All students,Science,46,50,6119
Hispanic,Science,28,37,6119
White,Science,71,68,6119
Asian,Science,65,76,6119
All students,Math,33,37,6119
Hispanic,Math,20,24,6119
White,Math,49,53,6119
Asian,Math,38,72,6119
All students,English,66,48,6119
Hispanic,English,58,37,6119
White,English,83,64,6119
Asian,English,56,75,6119
All students,Math,16,37,6120
Hispanic,Math,15,24,6120
Asian,Math,34,72,6120
Black,Math,9,18,6120
Two or more races,Math,0,52,6120
White,Math,9,53,6120
All students,English,23,48,6120
Hispanic,English,20,37,6120
Asian,English,40,75,6120
Black,English,24,31,6120
Two or more races,English,8,63,6120
All students,Science,53,61,6120
Hispanic,Science,51,49,6120
Asian,Science,74,85,6120
Black,Science,42,43,6120
All students,Math,78,37,734
White,Math,84,53,734
Hispanic,Math,66,24,734
All students,English,83,48,734
White,English,90,64,734
Hispanic,English,72,37,734
All students,Science,61,57,734
White,Science,56,76,734
All students,Math,52,37,6122
White,Math,70,53,6122
Hispanic,Math,27,24,6122
Two or more races,Math,57,52,6122
Black,Math,15,18,6122
Asian,Math,94,72,6122
All students,English,66,48,6122
White,English,81,64,6122
Hispanic,English,45,37,6122
Two or more races,English,81,63,6122
Black,English,36,31,6122
Asian,English,81,75,6122
All students,Science,82,61,6122
White,Science,95,78,6122
Hispanic,Science,65,49,6122
Two or more races,Science,89,75,6122
Black,Science,60,43,6122
All students,Science,31,50,11952
Black,Science,26,32,11952
Hispanic,Science,29,37,11952
All students,Math,15,37,11952
Black,Math,8,18,11952
Hispanic,Math,20,24,11952
All students,English,75,48,11952
Black,English,62,31,11952
Hispanic,English,88,37,11952
All students,Science,33,50,14261
Hispanic,Science,28,37,14261
Black,Science,32,32,14261
Asian,Science,41,76,14261
All students,English,33,48,14261
Hispanic,English,35,37,14261
Black,English,26,31,14261
Asian,English,36,75,14261
All students,Math,16,37,14261
Hispanic,Math,11,24,14261
Black,Math,9,18,14261
Asian,Math,25,72,14261
All students,Math,47,37,6124
Hispanic,Math,31,24,6124
White,Math,60,53,6124
All students,English,56,48,6124
Hispanic,English,38,37,6124
White,English,71,64,6124
All students,Science,65,53,6124
Hispanic,Science,44,40,6124
White,Science,85,74,6124
All students,Math,81,37,6126
White,Math,85,53,6126
Hispanic,Math,60,24,6126
Asian,Math,88,72,6126
Two or more races,Math,79,52,6126
All students,English,85,48,6126
White,English,88,64,6126
Hispanic,English,71,37,6126
Asian,English,90,75,6126
Two or more races,English,83,63,6126
All students,Science,88,53,6126
White,Science,91,74,6126
Hispanic,Science,79,40,6126
All students,Math,73,37,6127
White,Math,80,53,6127
Hispanic,Math,56,24,6127
Two or more races,Math,68,52,6127
Asian,Math,73,72,6127
All students,English,79,48,6127
White,English,82,64,6127
Hispanic,English,65,37,6127
Two or more races,English,87,63,6127
Asian,English,82,75,6127
All students,Science,93,53,6127
White,Science,94,74,6127
Two or more races,Science,100,72,6127
All students,Math,49,37,6128
White,Math,61,53,6128
Hispanic,Math,32,24,6128
Two or more races,Math,57,52,6128
Black,Math,15,18,6128
Asian,Math,55,72,6128
All students,English,63,48,6128
White,English,75,64,6128
Hispanic,English,44,37,6128
Two or more races,English,68,63,6128
Black,English,50,31,6128
All students,Science,69,53,6128
White,Science,79,74,6128
Hispanic,Science,53,40,6128
Two or more races,Science,82,72,6128
Black,Science,33,36,6128
All students,Math,25,37,6129
Hispanic,Math,23,24,6129
Black,Math,17,18,6129
Asian,Math,51,72,6129
All students,English,31,48,6129
Hispanic,English,30,37,6129
Black,English,20,31,6129
Asian,English,47,75,6129
All students,Science,38,57,6129
Hispanic,Science,34,44,6129
All students,English,70,48,6130
White,English,78,64,6130
Hispanic,English,59,37,6130
Two or more races,English,76,63,6130
Black,English,47,31,6130
Asian,English,91,75,6130
Filipino,English,87,70,6130
All students,Math,55,37,6130
White,Math,65,53,6130
Hispanic,Math,39,24,6130
Two or more races,Math,62,52,6130
Black,Math,40,18,6130
Asian,Math,73,72,6130
Filipino,Math,71,57,6130
All students,Science,84,61,6130
White,Science,90,78,6130
Hispanic,Science,76,49,6130
Two or more races,Science,83,75,6130
Black,Science,77,43,6130
Asian,Science,92,85,6130
All students,English,86,48,6132
Asian,English,91,75,6132
White,English,82,64,6132
Two or more races,English,84,63,6132
Hispanic,English,79,37,6132
Filipino,English,92,70,6132
All students,Math,85,37,6132
Asian,Math,92,72,6132
White,Math,81,53,6132
Two or more races,Math,92,52,6132
Hispanic,Math,71,24,6132
Filipino,Math,84,57,6132
All students,Science,97,53,6132
Asian,Science,97,78,6132
White,Science,100,74,6132
Two or more races,Science,100,72,6132
All students,Math,71,37,6133
Asian,Math,76,72,6133
White,Math,78,53,6133
Hispanic,Math,51,24,6133
Two or more races,Math,82,52,6133
All students,English,77,48,6133
Asian,English,79,75,6133
White,English,78,64,6133
Hispanic,English,68,37,6133
Two or more races,English,81,63,6133
All students,Science,68,53,6133
Asian,Science,59,78,6133
White,Science,79,74,6133
Hispanic,Science,64,40,6133
All students,English,63,48,6270
Hispanic,English,53,37,6270
White,English,71,64,6270
Asian,English,87,75,6270
Black,English,63,31,6270
Filipino,English,81,70,6270
Two or more races,English,67,63,6270
All students,Math,44,37,6270
Hispanic,Math,32,24,6270
White,Math,52,53,6270
Asian,Math,77,72,6270
Black,Math,45,18,6270
Filipino,Math,69,57,6270
Two or more races,Math,44,52,6270
All students,Science,74,61,6270
Hispanic,Science,64,49,6270
White,Science,83,78,6270
Asian,Science,89,85,6270
Black,Science,79,43,6270
Filipino,Science,92,79,6270
All students,Math,49,37,5832
Hispanic,Math,43,24,5832
White,Math,61,53,5832
Filipino,Math,71,57,5832
Black,Math,58,18,5832
Asian,Math,64,72,5832
All students,English,70,48,5832
Hispanic,English,66,37,5832
White,English,74,64,5832
Filipino,English,82,70,5832
Black,English,79,31,5832
All students,Science,65,53,5832
Hispanic,Science,60,40,5832
All students,Math,40,37,13679
Hispanic,Math,38,24,13679
White,Math,73,53,13679
All students,English,54,48,13679
Hispanic,English,52,37,13679
White,English,91,64,13679
All students,Science,51,53,13679
Hispanic,Science,48,40,13679
All students,Math,26,37,5990
Hispanic,Math,25,24,5990
Filipino,Math,42,57,5990
All students,English,34,48,5990
Hispanic,English,31,37,5990
Filipino,English,68,70,5990
All students,Science,17,53,5990
Hispanic,Science,15,40,5990
All students,Math,17,37,5807
White,Math,18,53,5807
Hispanic,Math,15,24,5807
Black,Math,7,18,5807
Asian,Math,36,72,5807
All students,English,33,48,5807
White,English,32,64,5807
Hispanic,English,33,37,5807
Black,English,24,31,5807
Asian,English,43,75,5807
All students,Science,62,61,5807
White,Science,54,78,5807
Hispanic,Science,70,49,5807
Black,Science,58,43,5807
All students,Math,28,37,12450
Hispanic,Math,21,24,12450
Black,Math,18,18,12450
White,Math,44,53,12450
Two or more races,Math,33,52,12450
Asian,Math,59,72,12450
Filipino,Math,58,57,12450
All students,English,48,48,12450
Hispanic,English,40,37,12450
Black,English,44,31,12450
White,English,65,64,12450
Two or more races,English,64,63,12450
Asian,English,69,75,12450
Filipino,English,79,70,12450
All students,Science,65,61,12450
Hispanic,Science,65,49,12450
Black,Science,48,43,12450
White,Science,82,78,12450
Two or more races,Science,74,75,12450
Asian,Science,75,85,12450
All students,Math,32,37,6077
Hispanic,Math,28,24,6077
Filipino,Math,48,57,6077
White,Math,42,53,6077
Black,Math,31,18,6077
Two or more races,Math,43,52,6077
All students,English,42,48,6077
Hispanic,English,35,37,6077
Filipino,English,62,70,6077
White,English,65,64,6077
Black,English,38,31,6077
Two or more races,English,57,63,6077
All students,Science,32,53,6077
Hispanic,Science,30,40,6077
Filipino,Science,46,72,6077
All students,Math,59,37,6317
White,Math,74,53,6317
Hispanic,Math,38,24,6317
Two or more races,Math,75,52,6317
Asian,Math,70,72,6317
Black,Math,64,18,6317
Filipino,Math,55,57,6317
All students,English,58,48,6317
White,English,74,64,6317
Hispanic,English,38,37,6317
Two or more races,English,79,63,6317
Asian,English,70,75,6317
Black,English,55,31,6317
Filipino,English,36,70,6317
All students,Science,66,53,6317
White,Science,80,74,6317
Hispanic,Science,51,40,6317
All students,Math,33,37,6136
Hispanic,Math,35,24,6136
Black,Math,17,18,6136
All students,English,41,48,6136
Hispanic,English,43,37,6136
Black,English,30,31,6136
All students,Science,50,53,6136
Hispanic,Science,51,40,6136
All students,English,26,48,31084
Hispanic,English,25,37,31084
Black,English,31,31,31084
All students,Math,10,37,31084
Hispanic,Math,7,24,31084
Black,Math,23,18,31084
All students,Science,20,57,31084
Hispanic,Science,21,44,31084
All students,Math,12,37,5179
Hispanic,Math,12,24,5179
All students,English,32,48,5179
Hispanic,English,32,37,5179
All students,Science,24,53,5179
Hispanic,Science,25,40,5179
All students,Math,21,37,5912
Hispanic,Math,17,24,5912
White,Math,37,53,5912
All students,English,39,48,5912
Hispanic,English,34,37,5912
White,English,59,64,5912
All students,Science,32,53,5912
Hispanic,Science,16,40,5912
White,Science,59,74,5912
All students,Math,19,37,14474
Hispanic,Math,19,24,14474
All students,English,15,48,14474
Hispanic,English,14,37,14474
All students,Science,24,53,14474
Hispanic,Science,24,40,14474
All students,Math,19,37,5891
Hispanic,Math,18,24,5891
All students,English,31,48,5891
Hispanic,English,30,37,5891
All students,Science,37,53,5891
Hispanic,Science,37,40,5891
All students,Math,83,37,5880
White,Math,84,53,5880
Hispanic,Math,71,24,5880
Two or more races,Math,83,52,5880
Asian,Math,93,72,5880
All students,English,87,48,5880
White,English,89,64,5880
Hispanic,English,71,37,5880
Two or more races,English,92,63,5880
Asian,English,93,75,5880
All students,Science,87,53,5880
White,Science,90,74,5880
All students,Science,69,50,6519
White,Science,68,68,6519
Hispanic,Science,58,37,6519
Native American or Native Alaskan,Science,86,44,6519
All students,English,71,48,6519
White,English,73,64,6519
Hispanic,English,67,37,6519
Two or more races,English,69,63,6519
All students,Math,47,37,6519
White,Math,49,53,6519
Hispanic,Math,44,24,6519
Two or more races,Math,44,52,6519
All students,Math,28,37,1497
Hispanic,Math,26,24,1497
All students,English,34,48,1497
Hispanic,English,32,37,1497
All students,Science,38,53,1497
Hispanic,Science,36,40,1497
All students,Math,59,37,7335
White,Math,64,53,7335
Hispanic,Math,46,24,7335
Asian,Math,59,72,7335
Two or more races,Math,56,52,7335
All students,English,65,48,7335
White,English,70,64,7335
Hispanic,English,54,37,7335
Asian,English,76,75,7335
Two or more races,English,60,63,7335
All students,Science,86,57,7335
White,Science,87,76,7335
Hispanic,Science,88,44,7335
All students,Math,64,37,5809
White,Math,68,53,5809
Hispanic,Math,52,24,5809
Two or more races,Math,65,52,5809
All students,English,69,48,5809
White,English,73,64,5809
Hispanic,English,61,37,5809
Two or more races,English,71,63,5809
All students,Science,81,53,5809
White,Science,81,74,5809
Hispanic,Science,79,40,5809
All students,Math,65,37,6032
White,Math,68,53,6032
Hispanic,Math,52,24,6032
Asian,Math,77,72,6032
Two or more races,Math,61,52,6032
All students,English,74,48,6032
White,English,75,64,6032
Hispanic,English,63,37,6032
Asian,English,85,75,6032
Two or more races,English,83,63,6032
All students,Science,64,53,6032
White,Science,72,74,6032
Hispanic,Science,50,40,6032
All students,Math,17,37,6075
Hispanic,Math,14,24,6075
Filipino,Math,45,57,6075
All students,English,26,48,6075
Hispanic,English,23,37,6075
Filipino,English,64,70,6075
All students,Science,14,53,6075
Hispanic,Science,9,40,6075
All students,Math,20,37,14622
Hispanic,Math,18,24,14622
Black,Math,24,18,14622
All students,English,40,48,14622
Hispanic,English,36,37,14622
Black,English,41,31,14622
All students,Science,39,57,14622
Hispanic,Science,37,44,14622
All students,Math,43,37,5925
White,Math,48,53,5925
Hispanic,Math,32,24,5925
Two or more races,Math,50,52,5925
Black,Math,29,18,5925
All students,English,59,48,5925
White,English,64,64,5925
Hispanic,English,48,37,5925
Two or more races,English,63,63,5925
Black,English,62,31,5925
All students,Science,60,50,5925
White,Science,62,68,5925
Hispanic,Science,48,37,5925
Two or more races,Science,85,66,5925
Black,Science,80,32,5925
All students,Math,34,37,6319
Hispanic,Math,24,24,6319
White,Math,51,53,6319
Two or more races,Math,43,52,6319
Black,Math,38,18,6319
Filipino,Math,69,57,6319
All students,English,52,48,6319
Hispanic,English,42,37,6319
White,English,69,64,6319
Two or more races,English,59,63,6319
Black,English,38,31,6319
Filipino,English,88,70,6319
All students,Science,73,55,6319
Hispanic,Science,63,42,6319
White,Science,84,73,6319
Two or more races,Science,100,70,6319
All students,Math,48,37,5835
Hispanic,Math,45,24,5835
White,Math,53,53,5835
All students,English,59,48,5835
Hispanic,English,59,37,5835
White,English,53,64,5835
All students,Science,68,53,5835
Hispanic,Science,68,40,5835
All students,English,40,48,17103
Hispanic,English,36,37,17103
White,English,62,64,17103
All students,Math,23,37,17103
Hispanic,Math,20,24,17103
White,Math,38,53,17103
All students,Science,53,53,17103
Hispanic,Science,47,40,17103
All students,Math,26,37,5836
Hispanic,Math,25,24,5836
All students,English,43,48,5836
Hispanic,English,43,37,5836
All students,Science,49,53,5836
Hispanic,Science,50,40,5836
All students,Math,50,37,5834
Hispanic,Math,47,24,5834
Filipino,Math,71,57,5834
All students,English,66,48,5834
Hispanic,English,63,37,5834
Filipino,English,88,70,5834
All students,Science,71,53,5834
Hispanic,Science,72,40,5834
All students,English,62,48,6156
Asian,English,58,75,6156
Hispanic,English,60,37,6156
White,English,70,64,6156
Black,English,40,31,6156
Two or more races,English,76,63,6156
All students,Math,59,37,6156
Asian,Math,65,72,6156
Hispanic,Math,50,24,6156
White,Math,72,53,6156
Black,Math,30,18,6156
Two or more races,Math,56,52,6156
All students,Science,75,53,6156
Asian,Science,72,78,6156
Hispanic,Science,67,40,6156
All students,Math,18,37,5180
Hispanic,Math,16,24,5180
White,Math,31,53,5180
Black,Math,17,18,5180
All students,English,27,48,5180
Hispanic,English,26,37,5180
White,English,38,64,5180
Black,English,33,31,5180
All students,Science,38,53,5180
Hispanic,Science,38,40,5180
All students,Math,26,37,17706
Hispanic,Math,21,24,17706
Black,Math,24,18,17706
White,Math,58,53,17706
All students,English,63,48,17706
Hispanic,English,58,37,17706
Black,English,66,31,17706
White,English,92,64,17706
All students,Science,43,50,17706
Hispanic,Science,34,37,17706
Black,Science,52,32,17706
White,Science,73,68,17706
All students,Math,19,37,31136
Hispanic,Math,20,24,31136
Black,Math,14,18,31136
All students,English,44,48,31136
Hispanic,English,40,37,31136
Black,English,50,31,31136
All students,Science,37,61,31136
Hispanic,Science,33,49,31136
Black,Science,43,43,31136
All students,Science,66,50,5927
Hispanic,Science,62,37,5927
White,Science,74,68,5927
Black,Science,60,32,5927
Two or more races,Science,74,66,5927
Asian,Science,80,76,5927
All students,Math,39,37,5927
Hispanic,Math,33,24,5927
Black,Math,24,18,5927
White,Math,55,53,5927
Two or more races,Math,49,52,5927
Asian,Math,70,72,5927
Filipino,Math,57,57,5927
All students,English,59,48,5927
Hispanic,English,53,37,5927
Black,English,50,31,5927
White,English,74,64,5927
Two or more races,English,74,63,5927
Asian,English,70,75,5927
Filipino,English,80,70,5927
All students,English,65,48,12440
White,English,73,64,12440
Hispanic,English,52,37,12440
Asian,English,79,75,12440
Filipino,English,81,70,12440
All students,Math,59,37,12440
White,Math,68,53,12440
Hispanic,Math,41,24,12440
Asian,Math,83,72,12440
Filipino,Math,88,57,12440
All students,Science,77,57,12440
White,Science,85,76,12440
Hispanic,Science,64,44,12440
All students,Math,16,37,5895
Hispanic,Math,13,24,5895
White,Math,25,53,5895
Black,Math,21,18,5895
Asian,Math,57,72,5895
Filipino,Math,65,57,5895
Two or more races,Math,29,52,5895
All students,English,35,48,5895
Hispanic,English,31,37,5895
White,English,48,64,5895
Black,English,32,31,5895
Asian,English,78,75,5895
Filipino,English,94,70,5895
Two or more races,English,56,63,5895
All students,Science,28,61,5895
Hispanic,Science,23,49,5895
White,Science,47,78,5895
All students,Math,27,37,25634
Hispanic,Math,20,24,25634
White,Math,38,53,25634
Filipino,Math,46,57,25634
All students,English,34,48,25634
Hispanic,English,27,37,25634
White,English,62,64,25634
Filipino,English,50,70,25634
All students,Science,19,53,25634
Hispanic,Science,11,40,25634
All students,Math,18,37,31113
White,Math,27,53,31113
Hispanic,Math,8,24,31113
All students,English,35,48,31113
White,English,49,64,31113
Hispanic,English,20,37,31113
All students,Science,29,53,31113
White,Science,45,74,31113
Hispanic,Science,12,40,31113
All students,Science,33,50,17476
Hispanic,Science,30,37,17476
Filipino,Science,33,67,17476
All students,Math,30,37,17476
Hispanic,Math,23,24,17476
Filipino,Math,50,57,17476
White,Math,50,53,17476
All students,English,72,48,17476
Hispanic,English,68,37,17476
Filipino,English,100,70,17476
White,English,71,64,17476
All students,Math,45,37,14535
Hispanic,Math,38,24,14535
White,Math,56,53,14535
Black,Math,33,18,14535
All students,English,86,48,14535
Hispanic,English,88,37,14535
White,English,89,64,14535
Black,English,67,31,14535
All students,Science,36,50,14535
Hispanic,Science,23,37,14535
White,Science,57,68,14535
All students,Science,56,50,17469
White,Science,64,68,17469
Hispanic,Science,41,37,17469
Asian,Science,71,76,17469
All students,Math,45,37,17469
White,Math,49,53,17469
Hispanic,Math,26,24,17469
Asian,Math,58,72,17469
All students,English,85,48,17469
White,English,87,64,17469
Hispanic,English,77,37,17469
Asian,English,83,75,17469
All students,Math,20,37,25635
Hispanic,Math,14,24,25635
White,Math,33,53,25635
Filipino,Math,43,57,25635
Black,Math,6,18,25635
Asian,Math,54,72,25635
All students,English,37,48,25635
Hispanic,English,33,37,25635
White,English,43,64,25635
Filipino,English,70,70,25635
Black,English,29,31,25635
Asian,English,50,75,25635
All students,Science,39,61,25635
Hispanic,Science,39,49,25635
All students,Science,53,50,6287
Hispanic,Science,51,37,6287
White,Science,71,68,6287
Two or more races,Science,57,66,6287
All students,English,67,48,6287
Hispanic,English,66,37,6287
White,English,75,64,6287
Two or more races,English,75,63,6287
All students,Math,31,37,6287
Hispanic,Math,29,24,6287
White,Math,48,53,6287
Two or more races,Math,50,52,6287
All students,English,22,48,11115
Black,English,19,31,11115
Hispanic,English,18,37,11115
All students,Math,13,37,11115
Black,Math,12,18,11115
Hispanic,Math,18,24,11115
All students,Science,37,57,11115
Black,Science,21,36,11115
All students,Math,32,37,31138
Hispanic,Math,32,24,31138
All students,English,34,48,31138
Hispanic,English,34,37,31138
All students,Science,41,53,31138
Hispanic,Science,38,40,31138
All students,Math,29,37,2568
Hispanic,Math,33,24,2568
Black,Math,15,18,2568
Asian,Math,54,72,2568
All students,English,34,48,2568
Hispanic,English,32,37,2568
Black,English,26,31,2568
Asian,English,54,75,2568
All students,Science,29,53,2568
Hispanic,Science,29,40,2568
Black,Science,18,36,2568
All students,Math,8,37,7457
Hispanic,Math,9,24,7457
White,Math,8,53,7457
All students,English,29,48,7457
Hispanic,English,24,37,7457
White,English,34,64,7457
All students,Science,33,57,7457
Hispanic,Science,26,44,7457
White,Science,39,76,7457
All students,Math,26,37,14629
Hispanic,Math,24,24,14629
Asian,Math,41,72,14629
Black,Math,17,18,14629
All students,English,29,48,14629
Hispanic,English,28,37,14629
Asian,English,39,75,14629
Black,English,18,31,14629
All students,Science,35,53,14629
Hispanic,Science,37,40,14629
Asian,Science,22,78,14629
Black,Science,38,36,14629
All students,English,55,48,6258
Hispanic,English,48,37,6258
Filipino,English,75,70,6258
Black,English,34,31,6258
Two or more races,English,70,63,6258
White,English,65,64,6258
All students,Math,40,37,6258
Hispanic,Math,33,24,6258
Filipino,Math,58,57,6258
Black,Math,25,18,6258
Two or more races,Math,46,52,6258
White,Math,40,53,6258
All students,Science,70,53,6258
Hispanic,Science,63,40,6258
Filipino,Science,80,72,6258
Black,Science,55,36,6258
Two or more races,Science,67,72,6258
All students,Math,39,37,6079
Hispanic,Math,30,24,6079
White,Math,51,53,6079
Two or more races,Math,42,52,6079
Filipino,Math,54,57,6079
Black,Math,33,18,6079
All students,English,57,48,6079
Hispanic,English,51,37,6079
White,English,66,64,6079
Two or more races,English,50,63,6079
Filipino,English,69,70,6079
Black,English,48,31,6079
All students,Science,59,57,6079
Hispanic,Science,51,44,6079
White,Science,66,76,6079
All students,Math,28,37,5933
Hispanic,Math,18,24,5933
White,Math,48,53,5933
All students,English,40,48,5933
Hispanic,English,26,37,5933
White,English,64,64,5933
All students,Science,66,53,5933
Hispanic,Science,53,40,5933
White,Science,82,74,5933
All students,Math,33,37,6166
Hispanic,Math,32,24,6166
Black,Math,38,18,6166
White,Math,29,53,6166
All students,English,47,48,6166
Hispanic,English,47,37,6166
Black,English,31,31,6166
White,English,43,64,6166
All students,Science,41,53,6166
Hispanic,Science,36,40,6166
All students,Math,34,37,5787
White,Math,39,53,5787
Hispanic,Math,26,24,5787
Native American or Native Alaskan,Math,13,25,5787
Asian,Math,67,72,5787
All students,English,46,48,5787
White,English,48,64,5787
Hispanic,English,39,37,5787
Native American or Native Alaskan,English,38,36,5787
Asian,English,58,75,5787
All students,Science,57,61,5787
White,Science,64,78,5787
Hispanic,Science,32,49,5787
Native American or Native Alaskan,Science,50,52,5787
All students,Math,31,37,5997
Hispanic,Math,28,24,5997
All students,English,42,48,5997
Hispanic,English,38,37,5997
All students,Science,31,53,5997
Hispanic,Science,28,40,5997
All students,Math,12,37,5814
Hispanic,Math,10,24,5814
White,Math,12,53,5814
Black,Math,11,18,5814
All students,English,18,48,5814
Hispanic,English,18,37,5814
White,English,16,64,5814
Black,English,13,31,5814
All students,Science,31,53,5814
Hispanic,Science,36,40,5814
White,Science,13,74,5814
Black,Science,35,36,5814
All students,English,47,48,24650
Hispanic,English,44,37,24650
White,English,67,64,24650
Black,English,43,31,24650
All students,Math,50,37,24650
Hispanic,Math,47,24,24650
White,Math,70,53,24650
Black,Math,50,18,24650
All students,Science,53,53,24650
Hispanic,Science,48,40,24650
White,Science,65,74,24650
All students,Math,48,37,6169
White,Math,67,53,6169
Hispanic,Math,27,24,6169
Two or more races,Math,39,52,6169
Asian,Math,60,72,6169
All students,English,66,48,6169
White,English,76,64,6169
Hispanic,English,51,37,6169
Two or more races,English,53,63,6169
Asian,English,83,75,6169
All students,Science,71,53,6169
White,Science,87,74,6169
Hispanic,Science,80,40,6169
All students,Math,15,37,5090
Hispanic,Math,13,24,5090
Black,Math,25,18,5090
All students,English,29,48,5090
Hispanic,English,28,37,5090
Black,English,40,31,5090
All students,Science,58,53,5090
Hispanic,Science,60,40,5090
All students,Science,80,50,14170
Hispanic,Science,85,37,14170
Asian,Science,85,76,14170
Black,Science,65,32,14170
White,Science,75,68,14170
Filipino,Science,83,67,14170
All students,Math,45,37,14170
Hispanic,Math,30,24,14170
Asian,Math,63,72,14170
Black,Math,45,18,14170
All students,English,81,48,14170
Hispanic,English,78,37,14170
Asian,English,81,75,14170
Black,English,73,31,14170
All students,Math,29,37,5992
Hispanic,Math,28,24,5992
All students,English,44,48,5992
Hispanic,English,43,37,5992
All students,Science,29,53,5992
Hispanic,Science,29,40,5992
All students,Math,21,37,6174
Hispanic,Math,22,24,6174
All students,English,25,48,6174
Hispanic,English,25,37,6174
All students,Science,33,53,6174
Hispanic,Science,33,40,6174
All students,Math,10,37,12042
Hispanic,Math,10,24,12042
All students,English,26,48,12042
Hispanic,English,26,37,12042
All students,Science,26,57,12042
Hispanic,Science,26,44,12042
All students,Math,10,37,14695
Hispanic,Math,9,24,14695
All students,English,18,48,14695
Hispanic,English,18,37,14695
All students,Science,8,53,14695
