studentsNumber,outOf5Stars,url,grades,lowIncomeRaceDisbilityJson,schoolTitle,totalNumReviews,StarBreakout,types
306,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/5839-Kellogg-Karl-H.-Elementary-School/?s_cid=gsapi,K-6,,Kellogg (Karl H.) Elementary School,14,"9,2,0,0,2",Public
"3,079",4 out of 5 stars,https://www.greatschools.org/california/chula-vista/6284-Eastlake-High-School/?s_cid=gsapi,9-12,,Eastlake High School,31,"9,3,1,3,4",Public
726,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6165-Fay-Elementary-School/?s_cid=gsapi,K-5,,Fay Elementary School,7,"3,0,1,1,0",Public
294,5 out of 5 stars,https://www.greatschools.org/california/san-diego/6140-Field-Elementary-School/?s_cid=gsapi,PK-5,,Field Elementary School,31,"12,0,0,1,0",Public
628,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6153-Hage-Elementary-School/?s_cid=gsapi,K-5,,Hage Elementary School,36,"14,6,1,0,2",Public
391,4 out of 5 stars,https://www.greatschools.org/california/bonita/5824-Allen-Ella-B.-Elementary-School/?s_cid=gsapi,K-6,,Allen (Ella B.) Elementary School,42,"17,5,2,2,3",Public
465,,https://www.greatschools.org/california/julian/31160-Harbor-Springs-Charter/?s_cid=gsapi,K-12,,Harbor Springs Charter,None,,Public charter
497,5 out of 5 stars,https://www.greatschools.org/california/san-diego/6158-Hearst-Elementary-School/?s_cid=gsapi,K-5,,Hearst Elementary School,24,"11,5,2,0,0",Public
"1,045",4 out of 5 stars,https://www.greatschools.org/california/chula-vista/31024-Camarena-Enrique-S.-Elementary/?s_cid=gsapi,K-6,,Camarena (Enrique S.) Elementary,50,"4,2,1,1,1",Public
560,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/5825-Casillas-Joseph-Elementary-School/?s_cid=gsapi,K-6,,Casillas (Joseph) Elementary School,30,"9,0,1,0,5",Public
721,4 out of 5 stars,https://www.greatschools.org/california/san-diego/17607-Joyner-Elementary-School/?s_cid=gsapi,K-5,,Joyner Elementary School,3,"1,2,0,0,0",Public
478,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6164-Horton-Elementary-School/?s_cid=gsapi,K-5,,Horton Elementary School,9,"2,3,0,1,0",Public
355,3 out of 5 stars,https://www.greatschools.org/california/chula-vista/5830-Cook-Hazel-Goes-Elementary-School/?s_cid=gsapi,K-6,,Cook (Hazel Goes) Elementary School,19,"3,1,0,1,2",Public
515,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6172-Keiller-Leadership-Academy/?s_cid=gsapi,K-8,,Keiller Leadership Academy,23,"6,2,0,0,5",Public charter
"1,037",4 out of 5 stars,https://www.greatschools.org/california/san-diego/6182-Language-Academy/?s_cid=gsapi,K-8,,Language Academy,56,"23,5,4,4,3",Public
589,4 out of 5 stars,https://www.greatschools.org/california/lakeside/5944-Lemon-Crest-Elementary-School/?s_cid=gsapi,K-5,,Lemon Crest Elementary School,38,"13,2,2,2,5",Public
777,4 out of 5 stars,https://www.greatschools.org/california/el-cajon/5815-Lexington-Elementary-School/?s_cid=gsapi,K-5,,Lexington Elementary School,7,"5,0,1,0,1",Public
432,4 out of 5 stars,https://www.greatschools.org/california/spring-valley/5968-Loma-Elementary-School/?s_cid=gsapi,K-6,,Loma Elementary School,22,"15,1,0,1,3",Public
